"bird_ID";"TransmGSM";"Type";"LON";"LAT";"Start";"End"
"322";"BC38EB1D";"Potato";7.353953;46.770653;"2017-08-25";"2017-08-27"
"492";"BD319F1C";"Potato";6.939691;46.655772;"2020-03-22";"2020-03-30"
"511";"KISA23";"Potato";6.836255;46.648953;"2020-05-12";"2020-05-15"
"426";"KISA25";"Potato";6.842996;46.612119;"2019-03-08";"2019-03-10"
"262";"KIWS20";"Potato";7.41616;46.841385;"2018-07-04";"2018-07-06"
"260";"KIWS23";"Potato";7.235064;46.814369;"2019-03-25";"2019-03-27"
"402";"KIWS71";"Potato";7.36841;46.854965;"2018-05-07";"2018-05-11"
"304";"KIWS75";"Potato";7.898597;47.079708;"2018-06-07";"2018-06-09"
"285";"KIWS92";"Potato";7.303606;46.792378;"2019-04-12";"2019-04-19"
"528";"WSIK81";"Potato";6.683722;46.943831;"2019-06-14";"2019-06-23"
